fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2014-05-12,22.651
DSP Midcap Fund – Direct Plan – Growth,2014-05-13,23.166
DSP Midcap Fund – Direct Plan – Growth,2014-05-14,23.498
DSP Midcap Fund – Direct Plan – Growth,2014-05-15,23.33
DSP Midcap Fund – Direct Plan – Growth,2014-05-16,23.764
DSP Midcap Fund – Direct Plan – Growth,2014-05-19,24.938
DSP Midcap Fund – Direct Plan – Growth,2014-05-20,25.222
DSP Midcap Fund – Direct Plan – Growth,2014-05-21,25.456
DSP Midcap Fund – Direct Plan – Growth,2014-05-22,25.989
DSP Midcap Fund – Direct Plan – Growth,2014-05-23,26.546
DSP Midcap Fund – Direct Plan – Growth,2014-05-26,25.992
DSP Midcap Fund – Direct Plan – Growth,2014-05-27,25.791
DSP Midcap Fund – Direct Plan – Growth,2014-05-28,25.788
DSP Midcap Fund – Direct Plan – Growth,2014-05-29,25.634
DSP Midcap Fund – Direct Plan – Growth,2014-05-30,25.709
DSP Midcap Fund – Direct Plan – Growth,2014-06-02,26.528
DSP Midcap Fund – Direct Plan – Growth,2014-06-03,26.747
DSP Midcap Fund – Direct Plan – Growth,2014-06-04,27.181
DSP Midcap Fund – Direct Plan – Growth,2014-06-05,27.632
DSP Midcap Fund – Direct Plan – Growth,2014-06-06,28.11
DSP Midcap Fund – Direct Plan – Growth,2014-06-09,28.409
DSP Midcap Fund – Direct Plan – Growth,2014-06-10,28.257
DSP Midcap Fund – Direct Plan – Growth,2014-06-11,28.022
DSP Midcap Fund – Direct Plan – Growth,2014-06-12,28.137
DSP Midcap Fund – Direct Plan – Growth,2014-06-13,27.463
DSP Midcap Fund – Direct Plan – Growth,2014-06-16,27.675
DSP Midcap Fund – Direct Plan – Growth,2014-06-17,28.102
DSP Midcap Fund – Direct Plan – Growth,2014-06-18,27.831
DSP Midcap Fund – Direct Plan – Growth,2014-06-19,27.706
DSP Midcap Fund – Direct Plan – Growth,2014-06-20,27.535
DSP Midcap Fund – Direct Plan – Growth,2014-06-23,27.776
DSP Midcap Fund – Direct Plan – Growth,2014-06-24,28.371
DSP Midcap Fund – Direct Plan – Growth,2014-06-25,28.649
DSP Midcap Fund – Direct Plan – Growth,2014-06-26,28.654
DSP Midcap Fund – Direct Plan – Growth,2014-06-27,28.868
DSP Midcap Fund – Direct Plan – Growth,2014-06-30,29.463
DSP Midcap Fund – Direct Plan – Growth,2014-07-01,29.698
DSP Midcap Fund – Direct Plan – Growth,2014-07-02,29.736
DSP Midcap Fund – Direct Plan – Growth,2014-07-03,29.642
DSP Midcap Fund – Direct Plan – Growth,2014-07-04,29.756
DSP Midcap Fund – Direct Plan – Growth,2014-07-07,29.793
DSP Midcap Fund – Direct Plan – Growth,2014-07-08,28.553
DSP Midcap Fund – Direct Plan – Growth,2014-07-09,28.007
DSP Midcap Fund – Direct Plan – Growth,2014-07-10,28.029
