date,fund_name,nav,cap,fund_type
2013-10-15,DSP Midcap Fund,17.464,Mid Cap,Equity
2013-10-16,DSP Midcap Fund,17.464,Mid Cap,Equity
2013-10-17,DSP Midcap Fund,17.398,Mid Cap,Equity
2013-10-18,DSP Midcap Fund,17.531,Mid Cap,Equity
2013-10-19,DSP Midcap Fund,17.531,Mid Cap,Equity
2013-10-20,DSP Midcap Fund,17.531,Mid Cap,Equity
2013-10-21,DSP Midcap Fund,17.608,Mid Cap,Equity
2013-10-22,DSP Midcap Fund,17.751,Mid Cap,Equity
2013-10-23,DSP Midcap Fund,17.746,Mid Cap,Equity
2013-10-24,DSP Midcap Fund,17.802,Mid Cap,Equity
2013-10-25,DSP Midcap Fund,17.771,Mid Cap,Equity
2013-10-26,DSP Midcap Fund,17.771,Mid Cap,Equity
2013-10-27,DSP Midcap Fund,17.771,Mid Cap,Equity
2013-10-28,DSP Midcap Fund,17.663,Mid Cap,Equity
2013-10-29,DSP Midcap Fund,17.92,Mid Cap,Equity
2013-10-30,DSP Midcap Fund,18.056,Mid Cap,Equity
2013-10-31,DSP Midcap Fund,18.331,Mid Cap,Equity
2013-11-01,DSP Midcap Fund,18.484,Mid Cap,Equity
2013-11-02,DSP Midcap Fund,18.484,Mid Cap,Equity
2013-11-03,DSP Midcap Fund,18.484,Mid Cap,Equity
2013-11-04,DSP Midcap Fund,18.484,Mid Cap,Equity
2013-11-05,DSP Midcap Fund,18.598,Mid Cap,Equity
2013-11-06,DSP Midcap Fund,18.544,Mid Cap,Equity
2013-11-07,DSP Midcap Fund,18.419,Mid Cap,Equity
2013-11-08,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-11-09,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-11-10,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-11-11,DSP Midcap Fund,18.439,Mid Cap,Equity
2013-11-12,DSP Midcap Fund,18.3,Mid Cap,Equity
2013-11-13,DSP Midcap Fund,18.154,Mid Cap,Equity
2013-11-14,DSP Midcap Fund,18.347,Mid Cap,Equity
2013-11-15,DSP Midcap Fund,18.347,Mid Cap,Equity
2013-11-16,DSP Midcap Fund,18.347,Mid Cap,Equity
2013-11-17,DSP Midcap Fund,18.347,Mid Cap,Equity
2013-11-18,DSP Midcap Fund,18.582,Mid Cap,Equity
2013-11-19,DSP Midcap Fund,18.625,Mid Cap,Equity
2013-11-20,DSP Midcap Fund,18.648,Mid Cap,Equity
